scenario,run,epoch,total_reward,alpha,beta,r_search,r_wait
4,0,1,1056.0,0.8,0.6,4,1
4,0,2,3234.0,0.8,0.6,4,1
4,0,3,3242.0,0.8,0.6,4,1
4,0,4,3283.0,0.8,0.6,4,1
4,0,5,3260.0,0.8,0.6,4,1
4,0,6,3244.0,0.8,0.6,4,1
4,0,7,3342.0,0.8,0.6,4,1
4,0,8,3209.0,0.8,0.6,4,1
4,0,9,3217.0,0.8,0.6,4,1
4,0,10,3242.0,0.8,0.6,4,1
4,1,1,1061.0,0.8,0.6,4,1
4,1,2,3229.0,0.8,0.6,4,1
4,1,3,3265.0,0.8,0.6,4,1
4,1,4,3268.0,0.8,0.6,4,1
4,1,5,3276.0,0.8,0.6,4,1
4,1,6,3274.0,0.8,0.6,4,1
4,1,7,3304.0,0.8,0.6,4,1
4,1,8,3200.0,0.8,0.6,4,1
4,1,9,3220.0,0.8,0.6,4,1
4,1,10,3225.0,0.8,0.6,4,1
4,2,1,1063.0,0.8,0.6,4,1
4,2,2,3261.0,0.8,0.6,4,1
4,2,3,3264.0,0.8,0.6,4,1
4,2,4,3228.0,0.8,0.6,4,1
4,2,5,3369.0,0.8,0.6,4,1
4,2,6,3214.0,0.8,0.6,4,1
4,2,7,3307.0,0.8,0.6,4,1
4,2,8,3284.0,0.8,0.6,4,1
4,2,9,3364.0,0.8,0.6,4,1
4,2,10,3262.0,0.8,0.6,4,1
5,0,1,1072.0,0.8,0.7,4,1
5,0,2,3279.0,0.8,0.7,4,1
5,0,3,3293.0,0.8,0.7,4,1
5,0,4,3289.0,0.8,0.7,4,1
5,0,5,3285.0,0.8,0.7,4,1
5,0,6,3307.0,0.8,0.7,4,1
5,0,7,3210.0,0.8,0.7,4,1
5,0,8,3207.0,0.8,0.7,4,1
5,0,9,3112.0,0.8,0.7,4,1
5,0,10,3276.0,0.8,0.7,4,1
5,1,1,1031.0,0.8,0.7,4,1
5,1,2,3335.0,0.8,0.7,4,1
5,1,3,3369.0,0.8,0.7,4,1
5,1,4,3333.0,0.8,0.7,4,1
5,1,5,3287.0,0.8,0.7,4,1
5,1,6,3319.0,0.8,0.7,4,1
5,1,7,3306.0,0.8,0.7,4,1
5,1,8,3331.0,0.8,0.7,4,1
5,1,9,3285.0,0.8,0.7,4,1
5,1,10,3101.0,0.8,0.7,4,1
5,2,1,1044.0,0.8,0.7,4,1
5,2,2,3250.0,0.8,0.7,4,1
5,2,3,3362.0,0.8,0.7,4,1
5,2,4,3360.0,0.8,0.7,4,1
5,2,5,3294.0,0.8,0.7,4,1
5,2,6,3310.0,0.8,0.7,4,1
5,2,7,3227.0,0.8,0.7,4,1
5,2,8,3282.0,0.8,0.7,4,1
5,2,9,3257.0,0.8,0.7,4,1
5,2,10,3314.0,0.8,0.7,4,1
6,0,1,1056.0,0.9,0.5,4,1
6,0,2,3587.0,0.9,0.5,4,1
6,0,3,3561.0,0.9,0.5,4,1
6,0,4,3588.0,0.9,0.5,4,1
6,0,5,3534.0,0.9,0.5,4,1
6,0,6,3516.0,0.9,0.5,4,1
6,0,7,3499.0,0.9,0.5,4,1
6,0,8,3548.0,0.9,0.5,4,1
6,0,9,3577.0,0.9,0.5,4,1
6,0,10,3541.0,0.9,0.5,4,1
6,1,1,1054.0,0.9,0.5,4,1
6,1,2,3571.0,0.9,0.5,4,1
6,1,3,3609.0,0.9,0.5,4,1
6,1,4,3560.0,0.9,0.5,4,1
6,1,5,3527.0,0.9,0.5,4,1
6,1,6,3580.0,0.9,0.5,4,1
6,1,7,3546.0,0.9,0.5,4,1
6,1,8,3583.0,0.9,0.5,4,1
6,1,9,3566.0,0.9,0.5,4,1
6,1,10,3500.0,0.9,0.5,4,1
6,2,1,1054.0,0.9,0.5,4,1
6,2,2,3583.0,0.9,0.5,4,1
6,2,3,3556.0,0.9,0.5,4,1
6,2,4,3600.0,0.9,0.5,4,1
6,2,5,3591.0,0.9,0.5,4,1
6,2,6,3530.0,0.9,0.5,4,1
6,2,7,3580.0,0.9,0.5,4,1
